Campaign report
"February 1, 2026 - May 21, 2026"
Month,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,Bid strategy type,Goals,Cost,Conversions,Phone calls,All conv.,Cost / conv.,Conv. value,CTR,Clicks,Impr.,Target CPA,Conv. rate,Avg. CPM,Avg. CPC,Search impr. share,Search lost IS (budget),Search lost abs. top IS (budget),Search lost top IS (budget),Search lost IS (rank),Optimization score,New customers,Conv. value / cost,Viewable CTR,Avg. viewable CPM,Viewable impr.,Original conv. value
February 2026,Enabled,ET | PMax | MOFU_Engaged | Training | Max Conversions | Training | Phone + LeadForm | Rockville MD,20.00, --,Daily,USD,Eligible,,Performance Max,Maximize Conversions,"[BOOK_APPOINTMENT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",200.11,55.22,58,137.78,3.62,108.66,9.00%,158,"1,755", --,32.87%,114.02,1.27,< 10%,22.30%, --, --,70.04%,85.44,0.00,0.54, --,0,0,108.66
March 2026,Enabled,ET | PMax | MOFU_Engaged | Training | Max Conversions | Training | Phone + LeadForm | Rockville MD,20.00, --,Daily,USD,Eligible,,Performance Max,Maximize Conversions,"[BOOK_APPOINTMENT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",597.08,201.77,214,583.01,2.96,315.01,9.21%,578,"6,279", --,27.45%,95.09,1.03,< 10%,15.75%, --, --,77.06%,85.44,0.00,0.53, --,0,0,315.01
April 2026,Enabled,ET | PMax | MOFU_Engaged | Training | Max Conversions | Training | Phone + LeadForm | Rockville MD,20.00, --,Daily,USD,Eligible,,Performance Max,Maximize Conversions,"[BOOK_APPOINTMENT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",608.32,165.50,188,601.86,3.68,261.96,8.97%,530,"5,911", --,30.82%,102.91,1.15,< 10%,13.81%, --, --,77.99%,85.44,0.00,0.43, --,0,0,261.96
May 2026,Enabled,ET | PMax | MOFU_Engaged | Training | Max Conversions | Training | Phone + LeadForm | Rockville MD,20.00, --,Daily,USD,Eligible,,Performance Max,Maximize Conversions,"[BOOK_APPOINTMENT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",410.36,108.43,105,289.35,3.78,152.82,8.32%,334,"4,015", --,31.71%,102.21,1.23,13.08%,12.04%, --, --,74.88%,85.44,0.00,0.37, --,0,0,152.82
February 2026,Enabled,ET | PMax | TOFU_MOFU | New Customers | Boarding + Daycare | Max Conversions | Phone + LeadForm | Rockville MD,110.00, --,Daily,USD,Eligible,,Performance Max,Maximize Conversions,"[CONTACT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",258.03,6.25,5,64.59,41.25,6.76,3.35%,114,"3,399", --,1.94%,75.91,2.26,18.56%,25.14%, --, --,56.30%,83.75,0.00,0.03, --,0,0,6.76
March 2026,Enabled,ET | PMax | TOFU_MOFU | New Customers | Boarding + Daycare | Max Conversions | Phone + LeadForm | Rockville MD,110.00, --,Daily,USD,Eligible,,Performance Max,Maximize Conversions,"[CONTACT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",780.50,33.98,42,308.24,22.97,51.00,3.08%,379,"12,298", --,4.05%,63.47,2.06,19.76%,17.04%, --, --,63.20%,83.75,0.00,0.07, --,0,0,51.00
April 2026,Enabled,ET | PMax | TOFU_MOFU | New Customers | Boarding + Daycare | Max Conversions | Phone + LeadForm | Rockville MD,110.00, --,Daily,USD,Eligible,,Performance Max,Maximize Conversions,"[CONTACT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",782.01,43.92,59,382.11,17.81,39.51,3.17%,545,"17,203", --,7.61%,45.46,1.43,17.09%,19.77%, --, --,63.14%,83.75,0.00,0.05, --,0,0,39.51
May 2026,Enabled,ET | PMax | TOFU_MOFU | New Customers | Boarding + Daycare | Max Conversions | Phone + LeadForm | Rockville MD,110.00, --,Daily,USD,Eligible,,Performance Max,Maximize Conversions,"[CONTACT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",730.79,51.00,69,304.31,14.33,76.50,3.04%,380,"12,509", --,12.98%,58.42,1.92,21.07%,19.65%, --, --,59.28%,83.75,0.00,0.10, --,0,0,76.50
February 2026,Enabled,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,59.40, --,Daily,USD,Eligible,,Search,Maximize Conversions,"[BOOK_APPOINTMENT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",2229.34,38.98,33,104.98,57.20,24.01,5.14%,294,"5,716", --,13.26%,390.02,7.58,31.53%,21.87%,22.11%,22.11%,46.60%,81.65,0.00,0.01, --,0,0,24.01
March 2026,Enabled,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,59.40, --,Daily,USD,Eligible,,Search,Maximize Conversions,"[BOOK_APPOINTMENT/WEBSITE, PHONE_CALL_LEAD/CALL_FROM_ADS, PHONE_CALL_LEAD/WEBSITE, SUBMIT_LEAD_FORM/WEBSITE]",1766.96,40.05,28,178.45,44.12,44.99,6.34%,243,"3,833", --,16.48%,460.99,7.27,31.65%,18.43%,18.70%,18.70%,49.92%,81.65,0.00,0.03, --,0,0,44.99
