Change history report
"October 8, 2025 - May 27, 2026"
Date & time,User,Campaign,Ad group,Changes
"May 19, 2026, 6:19:44 PM",access@embertribe.com,ET | PMax | MOFU_Engaged | Training | Max Conversions | Training | Phone + LeadForm | Rockville MD,,"Asset group changed
  Asset group name changed from Evergreen Dog Training to ET | Dog Training Signals | Max Conversions"
"May 19, 2026, 6:19:33 PM",access@embertribe.com,ET | PMax | TOFU_MOFU | New Customers | Boarding + Daycare | Max Conversions | Phone + LeadForm | Rockville MD,,"Asset group changed
  Asset group name changed from Dog Day Care to ET | Daycare Signals | New Customers | Max Conversions"
"May 19, 2026, 6:19:28 PM",access@embertribe.com,ET | PMax | TOFU_MOFU | New Customers | Boarding + Daycare | Max Conversions | Phone + LeadForm | Rockville MD,,"Asset group changed
  Asset group name changed from Dog Boarding to ET | Boarding Signals | New Customers | Max Conversions"
"May 19, 2026, 6:19:13 PM",access@embertribe.com,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,"Ad group changed
  Ad group name changed from ""dog daycare"" to ""ET | Dog Daycare KW | Target CPA"""
"May 19, 2026, 6:19:01 PM",access@embertribe.com,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,ET | Dog Grooming KW | Target CPA,"Ad group changed
  Ad group name changed from ""Grooming - Dog"" to ""ET | Dog Grooming KW | Target CPA"""
"May 19, 2026, 6:18:47 PM",access@embertribe.com,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,ET | Dynamic Training KW | Max Conversions,"Ad group changed
  Ad group name changed from ""Dynamic Training"" to ""ET | Dynamic Training KW | Max Conversions"""
"May 19, 2026, 6:18:28 PM",access@embertribe.com,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Kennel KW | Target CPA,"Ad group changed
  Ad group name changed from ""Dog Kennel"" to ""ET | Dog Kennel KW | Target CPA"""
"May 19, 2026, 6:18:23 PM",access@embertribe.com,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Boarding KW | Target CPA,"Ad group changed
  Ad group name changed from ""Dog Boarding"" to ""ET | Dog Boarding KW | Target CPA"""
"May 19, 2026, 6:18:18 PM",access@embertribe.com,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Pet Boarding KW | Target CPA,"Ad group changed
  Ad group name changed from ""Pet Boarding"" to ""ET | Pet Boarding KW | Target CPA"""
"May 19, 2026, 6:17:52 PM",access@embertribe.com,ET | Search | BOFU | Branded | Target ROAS | Business Term | Phone + LeadForm | Rockville MD,ET | DogiZone Branded KW | Pet In-Market Signals | Target ROAS,"Ad group changed
  Ad group name changed from ""DogiZone"" to ""ET | DogiZone Branded KW | Pet In-Market Signals | Target ROAS"""
