"Reporting starts","Reporting ends","Campaign name",Platform,"Impression device","Campaign delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Results,"Result indicator","Cost per results",Leads,"Cost per lead (USD)",actions:click_to_call_native_call_placed,Contacts,"Cost per contact (USD)"
2026-02-01,2026-05-27,"Training Campaign October",Facebook,"Android Smartphone",inactive,"Using ad set budget",0,101.4,19132,62373,381,actions:link_click,0.26614173,,,,,
2026-02-01,2026-05-27,"Training Campaign October",Facebook,"Android Tablet",inactive,"Using ad set budget",0,0.57,67,121,2,actions:link_click,0.285,,,,,
2026-02-01,2026-05-27,"Training Campaign October",Facebook,Desktop,inactive,"Using ad set budget",0,0.54,101,254,,,,,,,,
2026-02-01,2026-05-27,"Training Campaign October",Facebook,iPad,inactive,"Using ad set budget",0,2.07,438,910,9,actions:link_click,0.23,,,,,
2026-02-01,2026-05-27,"Training Campaign October",Facebook,iPhone,inactive,"Using ad set budget",0,608.65,57718,200734,2570,actions:link_click,0.23682879,3,202.883333,,,
2026-02-01,2026-05-27,"Training Campaign October",Facebook,iPod,inactive,"Using ad set budget",0,0.01,1,1,,,,,,,,
2026-02-01,2026-05-27,"Training Campaign October",Facebook,Other,inactive,"Using ad set budget",0,0.09,22,29,1,actions:link_click,0.09,,,,,
2026-02-01,2026-05-27,"Training Campaign October",Instagram,"Android Smartphone",inactive,"Using ad set budget",0,0.99,86,111,4,actions:link_click,0.2475,,,,,
2026-02-01,2026-05-27,"Training Campaign October",Instagram,"Android Tablet",inactive,"Using ad set budget",0,0.03,3,3,,,,,,,,
2026-02-01,2026-05-27,"Training Campaign October",Instagram,iPhone,inactive,"Using ad set budget",0,1.53,99,137,3,actions:link_click,0.51,,,,,
2026-02-01,2026-05-27,"Training Campaign October",Threads,"Android Smartphone",inactive,"Using ad set budget",0,0.43,22,26,1,actions:link_click,0.43,,,,,
2026-02-01,2026-05-27,"Training Campaign October",Threads,"Android Tablet",inactive,"Using ad set budget",0,0.01,2,2,,,,,,,,
2026-02-01,2026-05-27,"Training Campaign October",Threads,iPhone,inactive,"Using ad set budget",0,0.37,57,75,2,actions:link_click,0.185,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Only Calls | ABO | Training + Boarding",Facebook,"Android Smartphone",active,"Using ad set budget",0,116.407569,2279,7692,12,actions:click_to_call_native_call_placed,9.70063073,,,12,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Only Calls | ABO | Training + Boarding",Facebook,"Android Tablet",active,"Using ad set budget",0,0.16001,13,14,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Only Calls | ABO | Training + Boarding",Facebook,iPhone,active,"Using ad set budget",0,293.549087,6352,21828,14,actions:click_to_call_native_call_placed,20.9677919,,,14,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Only Calls | ABO | Training + Boarding",Instagram,"Android Smartphone",active,"Using ad set budget",0,2.15014,38,73,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Only Calls | ABO | Training + Boarding",Instagram,iPhone,active,"Using ad set budget",0,971.923194,12007,66843,24,actions:click_to_call_native_call_placed,40.49679977,,,24,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",Facebook,"Android Smartphone",inactive,"Using ad set budget",0,77.07,1372,2445,,,,,,2,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",Facebook,"Android Tablet",inactive,"Using ad set budget",0,0.84,18,37,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",Facebook,Desktop,inactive,"Using ad set budget",0,2.13,88,145,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",Facebook,iPad,inactive,"Using ad set budget",0,10.09,150,239,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",Facebook,iPhone,inactive,"Using ad set budget",0,57.58,2189,3213,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",Facebook,iPod,inactive,"Using ad set budget",0,0,1,1,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",Facebook,Other,inactive,"Using ad set budget",0,0.42,8,10,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",Instagram,"Android Smartphone",inactive,"Using ad set budget",0,1.43,56,71,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",Instagram,"Android Tablet",inactive,"Using ad set budget",0,0.01,1,1,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",Instagram,iPhone,inactive,"Using ad set budget",0,13.15,726,984,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",Threads,"Android Smartphone",inactive,"Using ad set budget",0,0.03,5,6,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead - Call (+40%) | ABO | Training + Boarding",Threads,iPhone,inactive,"Using ad set budget",0,0.05,12,12,,,,,,,,
2026-02-01,2026-05-27,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",Facebook,"Android Smartphone",inactive,"Using ad set budget",0,71.78,1220,2167,1,actions:offsite_conversion.fb_pixel_lead,71.78,1,71.78,2,,
2026-02-01,2026-05-27,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",Facebook,"Android Tablet",inactive,"Using ad set budget",0,0.59,15,22,,,,,,,,
2026-02-01,2026-05-27,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",Facebook,Desktop,inactive,"Using ad set budget",0,1.57,72,90,,,,,,,,
2026-02-01,2026-05-27,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",Facebook,iPad,inactive,"Using ad set budget",0,5.56,142,185,,,,,,,,
2026-02-01,2026-05-27,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",Facebook,iPhone,inactive,"Using ad set budget",0,54.96,1698,2417,,,,,,1,,
2026-02-01,2026-05-27,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",Facebook,Other,inactive,"Using ad set budget",0,0.69,7,14,,,,,,,,
2026-02-01,2026-05-27,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",Instagram,"Android Smartphone",inactive,"Using ad set budget",0,4.13,130,187,,,,,,,,
2026-02-01,2026-05-27,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",Instagram,"Android Tablet",inactive,"Using ad set budget",0,0.06,1,1,,,,,,,,
2026-02-01,2026-05-27,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",Instagram,iPhone,inactive,"Using ad set budget",0,22.05,639,951,1,actions:offsite_conversion.fb_pixel_lead,22.05,1,22.05,,,
2026-02-01,2026-05-27,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",Threads,"Android Smartphone",inactive,"Using ad set budget",0,0.02,6,6,,,,,,,,
2026-02-01,2026-05-27,"ET | MOFU | Lead - Call (+40%)| ABO | Training + Boarding",Threads,iPhone,inactive,"Using ad set budget",0,0.35,16,19,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Facebook,"Android Smartphone",active,"Using ad set budget",0,185.701824,2722,7518,,,,3,61.900608,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Facebook,"Android Tablet",active,"Using ad set budget",0,2.080357,38,92,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Facebook,Desktop,active,"Using ad set budget",0,51.008742,1299,3955,,,,4,12.752185,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Facebook,iPad,active,"Using ad set budget",0,38.996683,456,1050,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Facebook,iPhone,active,"Using ad set budget",0,464.159544,7586,18812,,,,5,92.831909,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Facebook,iPod,active,"Using ad set budget",0,0.020003,1,1,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Facebook,Other,active,"Using ad set budget",0,0.520089,13,21,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Instagram,"Android Smartphone",active,"Using ad set budget",0,39.436758,591,1414,,,,1,39.436758,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Instagram,"Android Tablet",active,"Using ad set budget",0,0.320055,9,17,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Instagram,Desktop,active,"Using ad set budget",0,0.470081,50,53,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Instagram,iPhone,active,"Using ad set budget",0,204.455038,2958,7621,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Instagram,Other,active,"Using ad set budget",0,0.030005,1,3,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Messenger,iPhone,active,"Using ad set budget",0,0,3,3,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Threads,"Android Smartphone",active,"Using ad set budget",0,0.690118,62,77,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Threads,iPad,active,"Using ad set budget",0,0.070012,4,4,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Lead/Contact | ABO | Training",Threads,iPhone,active,"Using ad set budget",0,4.100703,268,305,,,,2,2.050351,,,
2026-02-01,2026-05-27,"ET | TOFU | Contact | ABO | Boarding",Facebook,"Android Smartphone",active,"Using ad set budget",0,128.33291,3015,9753,,,,2,64.166455,,,
2026-02-01,2026-05-27,"ET | TOFU | Contact | ABO | Boarding",Facebook,"Android Tablet",active,"Using ad set budget",0,0.980175,31,85,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Contact | ABO | Boarding",Facebook,Desktop,active,"Using ad set budget",0,56.340058,2123,5960,,,,3,18.780019,,,
2026-02-01,2026-05-27,"ET | TOFU | Contact | ABO | Boarding",Facebook,iPad,active,"Using ad set budget",0,34.50616,707,1545,,,,,,,1,34.50616
2026-02-01,2026-05-27,"ET | TOFU | Contact | ABO | Boarding",Facebook,iPhone,active,"Using ad set budget",0,361.534542,9917,23656,,,,7,51.647792,,,
2026-02-01,2026-05-27,"ET | TOFU | Contact | ABO | Boarding",Facebook,Other,active,"Using ad set budget",0,0.610109,21,40,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Contact | ABO | Boarding",Instagram,"Android Smartphone",active,"Using ad set budget",0,43.057687,798,2160,,,,6,7.176281,,,
2026-02-01,2026-05-27,"ET | TOFU | Contact | ABO | Boarding",Instagram,"Android Tablet",active,"Using ad set budget",0,0.28005,9,12,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Contact | ABO | Boarding",Instagram,Desktop,active,"Using ad set budget",0,0.920164,78,106,,,,1,0.920164,,,
2026-02-01,2026-05-27,"ET | TOFU | Contact | ABO | Boarding",Instagram,iPhone,active,"Using ad set budget",0,153.027319,3196,7485,,,,3,51.009106,,,
2026-02-01,2026-05-27,"ET | TOFU | Contact | ABO | Boarding",Instagram,Other,active,"Using ad set budget",0,0.010002,2,3,,,,,,,,
2026-02-01,2026-05-27,"ET | TOFU | Contact | ABO | Boarding",Messenger,"Android Smartphone",active,"Using ad set budget",0,0.010002,1,1,,,,,,,,
