,,,,,,,,,,,,,,,,,,,,,,,,,
,Ad Spent DogiZone Jan 26',,,,,,,,,,,,,,,,,,,,,,,,
,Total budget distribution before ET team. The goal was to focus on lead generation (primarily calls) and reach a goal of 350 leads. ,,,,,,,,,,,,,,,,,,,,,,,,Total
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Budget ,"$8,303.06",, ,,,,,,,,,,,,,,,,,,,,,
,Number of Days ,31,,,,,,,,,,,,,,,,,,,,,,,
,Daily Budget ,$267.84,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,PLATFORM,% SPEND,TOTAL USD SPEND,,,,,,,,,,,,,,,,,,,,,,
,Google Ads,84.82%,"$7,042.89",,,,,,,,,,,,,,,,,,,,,,
,Meta,15.18%,"$1,260.17",,,,,,,,,,,,,,,,,,,,,,
,Total,100.00%,"$8,303.06",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Actual Spent,Budget set on account,,,,,,,,,,,,
,Platform,Audience Stage,Campaign Type,Business Vertical,Campaign Name,Ad Groups / Ad Sets,Bidding Strategy,Conversion Goals,Demographic Targeting,Targeting Details,% of Budget,Monthly Budget,Daily Budget,Objective (KPI),Goal KPI,Result Volume,Result KPI,Notes,,Notes:,,,,,
,Google,n/a,Search,Brand ,Brand Search Campaign,DogiZone,Max Conv Value: Target ROAS 377%,"Submit Lead Forms
Phone Call Leads
Book Appointments","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Lovers (Affinity)
Age: 18 - 64","1. Montgomery County, MD
2. Rockville, MD
3. 50 mi around Rockville, MD",2.03%,$168.30,$120.00,Phone Call Leads,,,,,,"The branded campaign has a high budget but it's not spending the actual amount. 

It happens the same for a little on ""Boarding Search Campaign - Exact"" and similar to branded in dimension on ""Daycare Search Campaign - Exact"".",,,,,
,Google,n/a,Search,Boarding,Boarding Search Campaign - Exact,"Pet Boarding
Dog Boarding
Dog Kennel",Max Conversions: Target CPA $37.5,"Submit Lead Forms
Phone Call Leads
Book Appointments",None,"1. Montgomery County, MD
2. 15 mi around Store",34.57%,"$2,870.61",$105.00,Phone Call Leads,,,,,,,,,,,
,Google,n/a,Search,Training,Dog Training 2025,Dynamic Training,Max Conversions ,"Submit Lead Forms
Phone Call Leads
Book Appointments",None,1. 20 mi around Store,29.34%,"$2,436.46",$80.00,Phone Call Leads,,,,,,,,,,,
,Google,n/a,Search,Grooming,Grooming Search Campaign,Grooming - Dog,Max Conversions: Target CPA $40,"Store Visit
Submit Lead Forms
Phone Call Leads","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Lovers (Affinity)
Frequently Visits Salon (Affinity)
Age: 18 - 64","1. 8 mi around Store
2. Various Postal Codes around Rockville, MD",16.97%,"$1,409.13",$47.00,Phone Call Leads,,,,,,,,,,,
,Google,n/a,Search,Daycare,Daycare Search Campaign - Exact,Dog Daycare,Max Conversions: Target CPA $60,"Submit Lead Forms
Phone Call Leads
Contacts","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Lovers (Affinity)
Age: 18 - 64","1. 15 mi around Store
2. Boyds, MD
3. Clarksburg, MD
4. Darnestown, MD
5. Montgomery Village, MD
6. North Potomac, MD
",1.91%,$158.39,$80.00,Phone Call Leads,,,,,,,,,,,
,Meta,TOFU,Traffic,Training,Training Campaign October,Training Campaign Ad set,Max Clicks,Link Clicks,Age: 25 - 55,"A+ with Detailed targeting
People who match: Interests: Dog training
And must also match: Interests: Dogs

Locations
Inclusion: United States: Rockville (+10 mi) Maryland
Exclusion: United States: Washington, District of Columbia; Virginia",15.18%,"$1,260.17",$40.65,Link Clicks,,,,,,,,,,,
,TOTAL,,,,,,,,,,100.00%,"$8,303.06",$472.65,-,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Current Settings on Accounts,,,,,,,,,,,,,,,,,,,,,,,,
,Channel,Type,Notes,,,,,,,,,,,,,,,,,,,,,,
,Google,Conversion Values,No Converision Value established for Call Leads,,,,,,,,,,,,,,,,,,,,,,
,Google,Primary Actions,Multiple Conversion Actions under same type doesn't allow for segmenting per Campaign Goals,,,,,,,,,,,,,,,,,,,,,,
