,,,,,,,,,,,,,,,,,,,,,,,,,
,Media Plan DogiZone,,,,,,,,,,,,,,,,,,,,,,,,
,Transition Month to new strategy. The main goal is to reach 350 leads per month. The highest value of conversion action is Phone Calls (because of highest quality). Those actions on Google are set to only track when 60 seconds of the call have been completed. In theory we'll only count 30% of calls as leads. ,,,,,,,,,,,,,,,,,,,,,,,,Total
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Budget Available,"$11,250.00",,,,,,,,,,,,,,,,,,,,,,,
,Number of Days ,30,,,,,,,,,,,,,,,,,,,,,,,
,Daily Budget ,$375.00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,PLATFORM,% SPEND,TOTAL USD EVERGREEN SPEND,% SPEND,TOTAL USD LOCAL SPEND,TOTAL USD LOCAL SPEND,,,,,,,,,,,,,,,,,,,
,Google,85.19%,"$8,626.50",9.55%,$967.50,"$9,594.00",,,,,,,,,,,,,,,,,,,
,Meta,14.81%,"$1,500.00",2.38%,$241.50,"$1,741.50",,,,,,,,,,,,,,,,,,,
,Total,100.00%,"$10,126.50",11.94%,"$1,209.00","$11,335.50",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,ONLY CALLS,,,,,,,,,,,,,,,,,,,,,,,,
,Platform,Audience Stage,Campaign Type,Business Vertical,Campaign Name,Ad Groups / Ad Sets,Bidding Strategy,Conversion Goals,Demographic Targeting,Targeting Details,% of Budget,Monthly Budget,Daily Budget,Objective (KPI),Goal KPI,Result Volume,Result KPI,Notes,,Notes:,,,,,
,Google,BOFU,Search,Brand,ET | Search | BOFU | Branded | Target ROAS | Business Term | Phone + LeadForm | Rockville MD,ET | DogiZone Branded KW | Pet In-Market Signals | Target ROAS,Max Conv Value: Target ROAS 377%,"Call To ads 
Calls on website","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 18 - 64","1. Montgomery County, MD
2. Rockville, MD
3. 25 mi around Rockville, MD",34.89%,$209.36,$120.00,"CPL + Overall Leads (Calls)
",,,,,,"We are going to shift the campaign's structure to focus solely on Calls.

also, we are going to increase the monthly bugget, allocation $1250 budget into Local campaigns to push retail efforts on both platforms (80% Google and 20% meta allocation)",,,,,
,Google,TOFU,Search,Boarding,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,"ET | Pet Boarding KW | Target CPA
ET | Dog Boarding KW | Target CPA
ET | Dog Kennel KW | Target CPA",Max Conversions: Target CPA $37.5,"Submit Lead Forms
Phone Call Leads
Book Appointments","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. Montgomery County, MD

Exclude VA and Prince George’s County.",21.78%,"$2,468.57",$82.29,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
,Google,TOFU,Search,Training,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,ET | Dynamic Training KW | Max Conversions,Max Conversions ,"Submit Lead Forms
Phone Call Leads
Book Appointments","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. Montgomery County, MD

Exclude VA and Prince George’s County.",15.73%,"$1,782.86",$59.43,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
,Google,TOFU,Search,Grooming,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,ET | Dog Grooming KW | Target CPA,Max Conversions: Target CPA $40,"Submit Lead Forms
Phone Call Leads","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. 8 mi around Store
2. Various Postal Codes around Rockville, MD

Exclude VA and Prince George’s County.",11.19%,"$1,268.57",$42.29,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
,Google,TOFU,Search,Daycare,ET | Search | TOFU_NewAudience | Daycare | Target CPA | Daycare | Phone + LeadForm | Rockville MD,ET | Dog Daycare KW | Target CPA,Max Conversions: Target CPA $60,"Submit Lead Forms
Phone Call Leads
Contacts","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. 15 mi around Store
2. Boyds, MD
3. Clarksburg, MD
4. Darnestown, MD
5. Montgomery Village, MD
6. North Potomac, MD
",13.46%,"$1,525.71",$50.86,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
,Google,TOFU - MOFU,"PMAX
 New Customers",Boarding & Daycare,ET | PMax | TOFU_MOFU | New Customers | Boarding + Daycare | Max Conversions | Phone + LeadForm | Rockville MD,"ET | Boarding Signals | New Customers | Max Conversions
ET | Daycare Signals | New Customers | Max Conversions",Max Conversions,"Phone Call Leads
Book Apointment 
(Reservation Form Completion)
Submit Lead Form 
(Email Link)","Custom Segments: Interests + Search
Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. 15 mi around Store
2. Montgomery County, MD
3. Rockville, MD",6.81%,$771.43,$25.71,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
,Google,MOFU - BOFU,PMAX,Training,ET | PMax | MOFU_Engaged | Training | Max Conversions | Training | Phone + LeadForm | Rockville MD,ET | Dog Training Signals | Max Conversions,Max Conversions,"1. Phone Call Leads
2. Book Apointment 
(Reservation Form Completion)
3. Submit Lead Form 
(Email Link)","Custom Segments: Interests + Search
Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25- 64",1. 20 mi around Store,5.29%,$600.00,$20.00,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
,Google,Tofu,PMAX,Retail / Ecom : Food,ET | PMax | TOFU_New Customers | Ecom | Max Conversions | Retail_Food | Get Directions | Rockville MD,ET | Food Category | Max Conversions ,Max Conversions,Get Directions,"Custom Segments: Interests + Search
Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25- 64","15 mil around store location: 501 E. Gude Dr., Rockville, MD, 20850, US",8.54%,$967.50,$32.25,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
,Meta,TOFU,Call,Training & Boarding,ET | Lead | TOFU_NewAudience | Training + Boarding | ABO | Call | Maryland 15mi,ET | Interest - Dog Terms | Max Calls | A+ | Maryland 15mi | Excl Engaged + Existing Audiences | Training,Max Conversion Calls,Calls,Broad,"Interest Based Targeting on Dog Terms with A+ and restriction on web visits, engagement on IG/FB, Calls.

1. Montgomery County, MD

Exclude VA and Prince George’s County.",7.94%,$900.00,$15.00,CPL + Overall Leads (Calls),,,,,,,,,,,
,,,,,,ET | Interest - Dog Terms | Max Calls | A+ | Maryland 15mi | Excl Engaged + Existing Audiences | Boarding,,,,,,,$15.00,,,,,,,,,,,,
,Meta,MOFU - BOFU,Call,Training & Boarding,ET | Lead | MOFU_BOFU_Engaged | Training + Boarding | ABO | Pet_All | Call | Maryland 25mi,ET | Warm Audiences - Engaged + Existing | Max Conv | A+ | Maryland 15mi | Incl Engaged + Existing Only | Training,Max Conversions,Calls,Broad,"Inclusion of web visits, engagement with ads or social accounts in FB/IG, Calls

3. 25 mi around Rockville, MD",5.29%,$600.00,$10.00,CPL + Overall Leads (Calls),,,,,,,,,,,
,,,,,,ET | Warm Audiences - Engaged + Existing | Max Conv | A+ | Maryland 25mi | Incl Engaged + Existing Only | Boarding,,,,,,,$10.00,,,,,,,,,,,,
,Meta,TOFU,Traffic or Sales,Retail / Ecom : Food,ET | Traffic/Sales | TOFU_NewAudience | Food | ABO | Call + Purchase | Maryland 15mi,ET | Interest - Dog Terms + LAL Existing Customers | Max Calls | A+ | Maryland 15mi | Broad,Max Calls,Calls/Purchases,LAL of existing purchasers or Broad,"Interest Based Targeting on Dog Terms with A+

15 mil around store location: 501 E. Gude Dr., Rockville, MD, 20850, US",2.13%,$241.50,$8.05,CPL + Overall Leads (Calls),,,,,,,,,,,
,Meta,TOFU,Awareness,Retail / Ecom : Social Events,ET | Awareness | TOFU_NewAudience | Social Events | CBO | Website | Maryland 15mi,ET | Interest - Local Social Events | Max Reach | A+ | Maryland 15mi | Broad,Max Reach,Traffic,Broad,"Interest Based Targeting on Dog Terms with A+:
Dog breed (dogs)
Dog food (pet supplies)
Dog Lovers (website)
Dog Groomer
Pet adoption (pets)
Pet sitting (pet services)
Pet store (pet supplies)
Pets (animals)
Dogs (animals)
Pet food (pet supplies)

15 mil around store location: 501 E. Gude Dr., Rockville, MD, 20850, US",1.32%,$150.00,$5.00,"Foot Traffic, Link clicks",,,,,,,,,,,
,TOTAL,,,,,,,,,,130.92%,"$11,335.50",$472.82,-,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Current Settings on Accounts,,,,,,,,,,,,,,,,,,,,,,,,
,Channel,Type,Notes,,,,,,,,,,,,,,,,,,,,,,
,Google,Conversion Values,Assess Real Conv. Value for Call Leads,,,,,,,,,,,,,,,,,,,,,,
,Google,Primary Actions,Will continue to use current Primary Conversion Actions. Segment via Campaign Goals and Structure,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,FORMS + CALLS ,,,,,,,,,,,,,,,,,,,,,,,,
,Platform,Audience Stage,Campaign Type,Business Vertical,Campaign Name,Ad Groups / Ad Sets,Bidding Strategy,Conversion Goals,Demographic Targeting,Targeting Details,% of Budget,Monthly Budget,Daily Budget,Objective (KPI),,,,,,,,,,,
,Google,BOFU,Search,Brand,Brand Search Campaign (x2),DogiZone,Max Conv Value: Target ROAS 377%,"Call To ads 
Calls on website","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 18 - 64","1. Montgomery County, MD
2. Rockville, MD
3. 25 mi around Rockville, MD",1.71%,$180.00,$15.00,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
,Google,TOFU,Search,Boarding,Boarding Search Campaign - Exact,"Pet Boarding
Dog Boarding
Dog Kennel",Max Conversions: Target CPA $37.5,"Submit Lead Forms
Phone Call Leads
Book Appointments","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. Montgomery County, MD

Exclude VA and Prince George’s County.",19.94%,"$2,100.00",$70.00,"CPL + Overall Leads (Calls)
",tCPA: $48,,,,,,,,,,
,Google,TOFU,Search,Training,Dog Training 2025,Dynamic Training,Max Conversions ,"Submit Lead Forms
Phone Call Leads
Book Appointments","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. Montgomery County, MD

Exclude VA and Prince George’s County.",12.82%,"$1,350.00",$45.00,"CPL + Overall Leads (Calls)
",tCPA: $58,,,,,,,,,,
,Google,TOFU,Search,Grooming,Grooming Search Campaign,Grooming - Dog,Max Conversions: Target CPA $40,"Submit Lead Forms
Phone Call Leads","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. 8 mi around Store
2. Various Postal Codes around Rockville, MD

Exclude VA and Prince George’s County.",11.11%,"$1,170.00",$39.00,"CPL + Overall Leads (Calls)
",tCPA: $46,,,,,,,,,,
,Google,TOFU,Search,Daycare,Daycare Search Campaign - Exact,Dog Daycare,Max Conversions: Target CPA $60,"Submit Lead Forms
Phone Call Leads
Contacts","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. 15 mi around Store
2. Boyds, MD
3. Clarksburg, MD
4. Darnestown, MD
5. Montgomery Village, MD
6. North Potomac, MD
",1.14%,$120.00,$10.00,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
