,,,,,,,,,,,,,,,,,,,,,,,,,
,Media Plan DogiZone,,,,,,,,,,,,,,,,,,,,,,,,
,Transition Month to new strategy. The main goal is to reach 350 leads per month. The highest value of conversion action is Phone Calls (because of highest quality). Those actions on Google are set to only track when 60 seconds of the call have been completed. In theory we'll only count 30% of calls as leads. ,,,,,,,,,,,,,,,,,,,,,,,,Total
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Budget Available,"$11,250.00",,,,,,,,,,,,,,,,,,,,,,,
,Number of Days ,31,,,,,,,,,,,,,,,,,,,,,,,
,Daily Budget ,$362.90,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,PLATFORM,% SPEND,TOTAL USD EVERGREEN SPEND,% SPEND,TOTAL USD LOCAL SPEND,TOTAL USD LOCAL SPEND,,,,,,,,,,,,,,,,,,,
,Google,85.18%,"$8,907.07",9.56%,$999.75,"$9,906.82",,,,,,,,,,,,,,,,,,,
,Meta,14.82%,"$1,550.00",2.39%,$249.55,"$1,799.55",,,,,,,,,,,,,,,,,,,
,Total,100.00%,"$10,457.07",11.95%,"$1,249.30","$11,706.37",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Platform,Audience Stage,Campaign Type,Business Vertical,Campaign Name,Ad Groups / Ad Sets,Bidding Strategy,Conversion Goals,Demographic Targeting,Targeting Details,% of Budget,Monthly Budget,Daily Budget,Objective (KPI),Goal KPI,Result Volume,Result KPI,Notes,,Notes:,,,,,
,Google,BOFU,Search,Brand,Brand Search Campaign (x2),DogiZone,Max Conv Value: Target ROAS 377%,"Call To ads 
Calls on website","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 18 - 64","1. Montgomery County, MD
2. Rockville, MD
3. 25 mi around Rockville, MD",33.77%,$209.36,$120.00,"CPL + Overall Leads (Calls)
",,,,,,"We are going to shift the campaign's structure to focus solely on Calls.

also, we are going to increase the monthly bugget, allocation $1250 budget into Local campaigns to push retail efforts on both platforms (80% Google and 20% meta allocation)",,,,,
,Google,TOFU,Search,Boarding,Boarding Search Campaign - Exact,"Pet Boarding
Dog Boarding
Dog Kennel",Max Conversions: Target CPA $37.5,"Submit Lead Forms
Phone Call Leads
Book Appointments","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. Montgomery County, MD

Exclude VA and Prince George’s County.",21.79%,"$2,550.86",$82.29,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
,Google,TOFU,Search,Training,Dog Training 2025,Dynamic Training,Max Conversions ,"Submit Lead Forms
Phone Call Leads
Book Appointments","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. Montgomery County, MD

Exclude VA and Prince George’s County.",15.74%,"$1,842.29",$59.43,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
,Google,TOFU,Search,Grooming,Grooming Search Campaign,Grooming - Dog,Max Conversions: Target CPA $40,"Submit Lead Forms
Phone Call Leads","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. 8 mi around Store
2. Various Postal Codes around Rockville, MD

Exclude VA and Prince George’s County.",11.20%,"$1,310.86",$42.29,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
,Google,TOFU,Search,Daycare,Daycare Search Campaign - Exact,Dog Daycare,Max Conversions: Target CPA $60,"Submit Lead Forms
Phone Call Leads
Contacts","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. 15 mi around Store
2. Boyds, MD
3. Clarksburg, MD
4. Darnestown, MD
5. Montgomery Village, MD
6. North Potomac, MD
",13.47%,"$1,576.57",$50.86,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
,Google,TOFU - MOFU,"PMAX
 New Customers",Boarding & Daycare,ET | PMAX | Bid New Customers | Boarding & Day Care | Max Conversions,"2 Ad Groups: 
Boarding + Dog Daycare",Max Conversions,"Phone Call Leads
Book Apointment 
(Reservation Form Completion)
Submit Lead Form 
(Email Link)","Custom Segments: Interests + Search
Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. 15 mi around Store
2. Montgomery County, MD
3. Rockville, MD",6.81%,$797.14,$25.71,"CPL + Overall Leads (Calls)
",,,,New daily budget since 05/19 $110,,,,,,,
,Google,MOFU - BOFU,PMAX,Training,ET | PMAX | Dog Training | Max Conversions | All Primary Conversions,Dog Training,Max Conversions,"1. Phone Call Leads
2. Book Apointment 
(Reservation Form Completion)
3. Submit Lead Form 
(Email Link)","Custom Segments: Interests + Search
Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25- 64",1. 20 mi around Store,5.30%,$620.00,$20.00,"CPL + Overall Leads (Calls)
",,,,,,,,,,,
,Google,Tofu,PMAX,Retail / Ecom : Food,ET  | PMAX | Max Conversions | Calls | Food ,Food Category,Max Conversions,Get Directions,"Custom Segments: Interests + Search
Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25- 64","15 mil around store location: 501 E. Gude Dr., Rockville, MD, 20850, US",8.54%,$999.75,$32.25,"CPL + Overall Leads (Calls)
",,,,"Use the same Get Directions conversion actions and tracking as google ads
NO URL expansion and only target Food landing page",,,,,,,
,Meta,TOFU,Call,Training & Boarding,ET | TOFU | Calls | ABO | Training + Boarding,ET | TOFU | Opt. Calls | Max Calls | Interest Based Dogs | A+ | Geo Maryland 15mi | Excluding Engaged + Existing Audiences | Training,Max Conversion Calls,Calls,Broad,"Interest Based Targeting on Dog Terms with A+ and restriction on web visits, engagement on IG/FB, Calls.

1. Montgomery County, MD

Exclude VA and Prince George’s County.",7.94%,$930.00,$15.00,CPL + Overall Leads (Calls),,,,Not changed yet,,,,,,,
,,,,,,ET | TOFU | Opt. Calls | Max Calls | Interest Based Dogs | A+ | Geo Maryland 15mi | Excluding Engaged + Existing Audiences  | Boarding,,,,,,,$15.00,,,,,Not changed yet,,,,,,,
,Meta,MOFU - BOFU,Call,Training & Boarding,ET | MOFU | Contact | ABO | Training + Boarding,ET | MOFU | Calls | Max Conversions | A+ | Geo Maryland 15mi | Including Engaged + Existing Audiences Only | Training,Max Conversions,Calls,Broad,"Inclusion of web visits, engagement with ads or social accounts in FB/IG, Calls

3. 25 mi around Rockville, MD",5.30%,$620.00,$10.00,CPL + Overall Leads (Calls),,,,Not changed yet,,,,,,,
,,,,,,ET | MOFU | Calls | Max Conversions | A+ | Geo Maryland 15mi | Including Engaged + Existing Audiences Only | Boarding,,,,,,,$10.00,,,,,Not changed yet,,,,,,,
,Meta,TOFU,Traffic or Sales,Retail / Ecom : Food,ET  | Traffic | Calls | ABO | Food,ET | TOFU | Max Calls | Interest Based Dogs  |  A+ | Geo Maryland 15mi | LAL Existing customers | Food ,Max Calls,Calls/Purchases,LAL of existing purchasers or Broad,"Interest Based Targeting on Dog Terms with A+

15 mil around store location: 501 E. Gude Dr., Rockville, MD, 20850, US",2.13%,$249.55,$8.05,CPL + Overall Leads (Calls),,,,Not changed yet,,,,,,,
,Meta,TOFU,Awareness,Retail / Ecom : Social Events,ET  | Awareness_Broad | CBO | Calls | Social Events,ET  | Interests | Max Calls | A+ | Geo Maryland 15mi | Local Social Events,Max Reach,Traffic,Broad,"Interest Based Targeting on Dog Terms with A+:
Dog breed (dogs)
Dog food (pet supplies)
Dog Lovers (website)
Dog Groomer
Pet adoption (pets)
Pet sitting (pet services)
Pet store (pet supplies)
Pets (animals)
Dogs (animals)
Pet food (pet supplies)

15 mil around store location: 501 E. Gude Dr., Rockville, MD, 20850, US",1.32%,$155.00,$5.00,"Foot Traffic, Link clicks",,,,Launched on 05/19,,,,,,,
,TOTAL,,,,,,,,,,129.85%,"$11,706.37",$472.82,-,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Current Settings on Accounts,,,,,,,,,,,,,,,,,,,,,,,,
,Channel,Type,Notes,,,,,,,,,,,,,,,,,,,,,,
,Google,Conversion Values,Assess Real Conv. Value for Call Leads,,,,,,,,,,,,,,,,,,,,,,
,Google,Primary Actions,Will continue to use current Primary Conversion Actions. Segment via Campaign Goals and Structure,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Campaign,Spent May 1-19,Avg/Day,Proj. 12 days,Total May,,,,,,,,,,,,,,,,,,,,
,PMax Dog Training,$367.20,$19.33,$240.00,$607.20,,,,,,,,,,,,,,,,,,,,
,Dog Training 2025,"$1,123.00",$59.11,$713.14,"$1,836.14",,,,,,,,,,,,,,,,,,,,
,Daycare Search - Exact,$74.41,$3.92,$610.29,$684.70,,,,,,,,,,,,,,,,,,,,
,PMax Boarding & Daycare,$478.09,$25.16,"$1,320.00","$1,798.09",,,,,,,,,,,,,,,,,,,,
,Boarding Search - Exact,"$1,503.02",$79.11,$948.00,"$2,451.02",,,,,,,,,,,,,,,,,,,,
,Grooming Search,$809.78,$42.62,$507.43,"$1,317.21",,,,,,,,,,,,,,,,,,,,
,Brand Search,$116.71,$6.14,$73.68,$190.39,,,,,,,,,,,,,,,,,,,,
,TOTAL,"$4,472.21",,"$4,412.54","$8,884.75",,,,,,,,,,,,,,,,,,,,
