Search keyword report
"February 1, 2026 - May 27, 2026 compared to October 8, 2025 - January 31, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Quality Score,Currency code,Cost / conv.,Cost / conv. (Compare to),Cost / conv. (Change),Cost / conv. (Change %),Cost,Cost (Compare to),Cost (Change),Cost (Change %),Conversions,Conversions (Compare to),Conversions (Change),Conversions (Change %),Conv. rate,Conv. rate (Compare to),Conv. rate (Change),Conv. rate (Change %),Search impr. share,Search impr. share (Compare to),Search impr. share (Change),Search impr. share (Change %),Conv. value / cost,Conv. value / cost (Compare to),Conv. value / cost (Change),Conv. value / cost (Change %),Conv. value,Conv. value (Compare to),Conv. value (Change),Conv. value (Change %),Avg. CPC,Avg. CPC (Compare to),Avg. CPC (Change),Avg. CPC (Change %),Clicks,Clicks (Compare to),Clicks (Change),Clicks (Change %),Impr.,Impr. (Compare to),Impr. (Change),Impr. (Change %),CTR,CTR (Compare to),CTR (Change),CTR (Change %),Final URL,Original conv. value,Original conv. value (Compare to),Original conv. value (Change),Original conv. value (Change %)
Paused,[pet resort],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,Pet Resort,Paused,paused; low quality; ad group paused, --,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --, --,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0.00,0.00%,0,0,0,0.00%,0,0,0,0.00%, --, --,0.00%,0.00%,,0.00,0.00,0.00,0.00%
Enabled,dog boarding rockville,Broad match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Boarding KW | Target CPA,Eligible,,7,USD,24.61,70.56,-45.95,-65.12%,381.50,70.56,310.93, +440.64%,15.50,1.00,14.50, +1450.00%,27.19%,9.09%,18.10%, +199.12%,38.04%,37.96%, --, +0.21%,0.04,0.00,0.04, +∞,15.00,0.00,15.00, +∞,6.69,6.41,0.28, +4.33%,57,11,46, +418.18%,"1,145",284,861, +303.17%,4.98%,3.87%,1.10%, +28.53%,,15.00,0.00,15.00, +∞
Enabled,[dog boarding near me],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Boarding KW | Target CPA,Eligible,,6,USD,39.75,38.92,0.83, +2.13%,1132.79,1245.46,-112.66,-9.05%,28.50,32.00,-3.50,-10.94%,20.36%,21.92%,-1.56%,-7.12%,71.23%,65.10%, --, +9.43%,0.01,0.01,0.00, +28.22%,10.50,9.00,1.50, +16.62%,8.09,8.53,-0.44,-5.15%,140,146,-6,-4.11%,"1,804","2,120",-316,-14.91%,7.76%,6.89%,0.87%, +12.69%,,10.50,9.00,1.50, +16.62%
Enabled,[dog boarding rockville],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Boarding KW | Target CPA,Eligible,,7,USD,50.75,40.67,10.08, +24.79%,380.62,440.61,-59.99,-13.61%,7.50,10.83,-3.33,-30.78%,16.67%,24.62%,-7.96%,-32.32%,75.88%,64.03%,11.84%, +18.49%,0.00,0.00,-0.00,-100.00%,0.00,0.00,-0.00,-100.00%,8.46,10.01,-1.56,-15.53%,45,44,1, +2.27%,432,550,-118,-21.45%,10.42%,8.00%,2.42%, +30.21%,,0.00,0.00,-0.00,-100.00%
Enabled,dog boarding near me,Broad match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Boarding KW | Target CPA,Eligible,,6,USD,45.73,68.85,-23.12,-33.59%,479.89,447.52,32.38, +7.23%,10.50,6.50,4.00, +61.46%,11.29%,8.44%,2.84%, +33.68%,38.92%,39.41%, --,-1.22%,0.02,0.02,0.00, +11.72%,8.99,7.50,1.49, +19.80%,5.16,5.81,-0.65,-11.21%,93,77,16, +20.78%,"1,833","1,661",172, +10.36%,5.07%,4.64%,0.44%, +9.45%,,8.99,7.50,1.49, +19.80%
Enabled,[dog boarding],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Boarding KW | Target CPA,Eligible,,7,USD,125.00,39.07,85.92, +219.89%,374.99,507.97,-132.98,-26.18%,3.00,13.00,-10.00,-76.92%,6.25%,21.31%,-15.06%,-70.67%,57.12%,59.90%, --,-4.65%,0.00,0.01,-0.01,-100.00%,0.00,3.00,-3.00,-100.00%,7.81,8.33,-0.52,-6.19%,48,61,-13,-21.31%,813,847,-34,-4.01%,5.90%,7.20%,-1.30%,-18.02%,,0.00,3.00,-3.00,-100.00%
Enabled,dog boarding,Broad match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Boarding KW | Target CPA,Eligible,,7,USD,21.44,51.22,-29.78,-58.15%,257.23,256.10,1.13, +0.44%,12.00,5.00,7.00, +140.00%,21.82%,11.36%,10.45%, +92.00%,26.12%,22.07%, --, +18.34%,0.02,0.00,0.02, +∞,6.00,0.00,6.00, +∞,4.68,5.82,-1.14,-19.65%,55,44,11, +25.00%,"1,361","1,055",306, +29.00%,4.04%,4.17%,-0.13%,-3.10%,,6.00,0.00,6.00, +∞
Enabled,[dog kennels rockville],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Kennel KW | Target CPA,Eligible,, --,USD,54.40,26.40,27.99, +106.04%,163.19,237.61,-74.42,-31.32%,3.00,9.00,-6.00,-66.67%,13.04%,39.13%,-26.09%,-66.67%,47.90%,48.42%, --,-1.07%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,7.10,10.33,-3.24,-31.32%,23,23,0,0.00%,315,318,-3,-0.94%,7.30%,7.23%,0.07%, +0.95%,,0.00,0.00,0.00,0.00%
Enabled,[dog kennels near me],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Kennel KW | Target CPA,Eligible,,6,USD,33.39,51.95,-18.56,-35.72%,200.36,155.85,44.51, +28.56%,6.00,3.00,3.00, +100.00%,18.75%,11.11%,7.64%, +68.75%,49.51%,48.06%, --, +3.01%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,6.26,5.77,0.49, +8.47%,32,27,5, +18.52%,459,540,-81,-15.00%,6.97%,5.00%,1.97%, +39.43%,,0.00,0.00,0.00,0.00%
Enabled,dog kennels near me,Broad match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Kennel KW | Target CPA,Eligible,,6,USD,41.15,33.88,7.27, +21.45%,555.86,1180.24,-624.38,-52.90%,13.51,34.83,-21.33,-61.22%,12.51%,19.03%,-6.53%,-34.29%,38.53%,34.31%, --, +12.32%,0.01,0.02,-0.01,-69.47%,3.02,21.00,-17.98,-85.62%,5.15,6.45,-1.30,-20.20%,108,183,-75,-40.98%,"2,134","3,084",-950,-30.80%,5.06%,5.93%,-0.87%,-14.71%,,3.02,21.00,-17.98,-85.62%
Enabled,[boarding kennels near me],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Kennel KW | Target CPA,Eligible,,6,USD,36.76,30.94,5.82, +18.80%,330.93,422.48,-91.55,-21.67%,9.00,13.65,-4.65,-34.07%,20.46%,26.77%,-6.31%,-23.58%,59.30%,50.96%, --, +16.37%,0.00,0.01,-0.01,-99.70%,0.01,3.00,-2.99,-99.76%,7.52,8.28,-0.76,-9.21%,44,51,-7,-13.73%,485,636,-151,-23.74%,9.07%,8.02%,1.05%, +13.14%,,0.01,3.00,-2.99,-99.76%
Enabled,[dog boarding kennels],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Kennel KW | Target CPA,Eligible,,7,USD,22.35,0.00,22.35, +∞,22.35,30.05,-7.70,-25.62%,1.00,0.00,1.00, +∞,25.00%,0.00%,25.00%, +∞,32.64%,33.59%, --,-2.83%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,5.59,6.01,-0.42,-7.03%,4,5,-1,-20.00%,105,69,36, +52.17%,3.81%,7.25%,-3.44%,-47.43%,,0.00,0.00,0.00,0.00%
Enabled,kennel near me,Broad match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Kennel KW | Target CPA,Eligible,,5,USD,0.00,27.37,-27.37,-100.00%,90.43,27.37,63.06, +230.36%,0.00,1.00,-1.00,-100.00%,0.01%,50.01%,-50.00%,-99.97%,37.41%,29.03%, --, +28.87%,0.00,0.11,-0.11,-100.00%,0.00,3.00,-3.00,-100.00%,5.65,13.69,-8.03,-58.71%,16,2,14, +700.00%,317,32,285, +890.63%,5.05%,6.25%,-1.20%,-19.24%,,0.00,3.00,-3.00,-100.00%
Enabled,[boarding kennels],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Kennel KW | Target CPA,Eligible,,7,USD,10.93,0.00,10.93, +∞,10.93,0.00,10.93, +∞,1.00,0.00,1.00, +∞,50.00%,0.00%,50.00%, +∞,28.57%,66.67%, --,-57.14%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,5.46,0,5.46, +∞,2,0,2, +∞,36,9,27, +300.00%,5.56%,0.00%,5.56%, +∞,,0.00,0.00,0.00,0.00%
Enabled,boarding kennels,Broad match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Kennel KW | Target CPA,Eligible,,7,USD,43.95,38.22,5.72, +14.97%,205.08,152.91,52.17, +34.12%,4.67,4.00,0.67, +16.65%,15.56%,16.67%,-1.11%,-6.68%,34.73%,28.14%, --, +23.42%,0.01,0.00,0.01, +104544.61%,2.00,0.00,2.00, +140250.74%,6.84,6.37,0.46, +7.30%,30,24,6, +25.00%,626,451,175, +38.80%,4.79%,5.32%,-0.53%,-9.94%,,2.00,0.00,2.00, +140250.74%
Enabled,dog kennels rockville,Broad match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Kennel KW | Target CPA,Eligible,, --,USD,0.00,23.78,-23.78,-100.00%,0.00,95.12,-95.12,-100.00%,0.00,4.00,-4.00,-100.00%,0.00%,33.33%,-33.33%,-100.00%,50.00%,39.82%,10.18%, +25.57%,0.00,0.06,-0.06,-100.00%,0.00,6.00,-6.00,-100.00%,0,7.93,-7.93,-100.00%,0,12,-12,-100.00%,1,153,-152,-99.35%,0.00%,7.84%,-7.84%,-100.00%,,0.00,6.00,-6.00,-100.00%
Enabled,[kennel near me],Exact match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Kennel KW | Target CPA,Eligible,,5,USD,0.00,39.18,-39.18,-100.00%,16.34,117.54,-101.20,-86.10%,0.00,3.00,-3.00,-100.00%,0.00%,20.00%,-20.00%,-100.00%,42.86%,49.76%, --,-13.87%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,4.09,7.84,-3.75,-47.87%,4,15,-11,-73.33%,90,252,-162,-64.29%,4.44%,5.95%,-1.51%,-25.33%,,0.00,0.00,0.00,0.00%
Enabled,pet boarding rockville md,Broad match,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Pet Boarding KW | Target CPA,Eligible,,7,USD,0.00,0.00,0.00,0.00%,5.00,12.44,-7.45,-59.85%,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,37.04%,31.97%, --, +15.84%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,2.50,3.11,-0.61,-19.71%,2,4,-2,-50.00%,33,122,-89,-72.95%,6.06%,3.28%,2.78%, +84.85%,,0.00,0.00,0.00,0.00%
